text,phonetic,meaning,example,audio,tag,difficulty,root,inflections,source,grade
society,səˈsaɪəti,n. 社会；交往；社团；社交界,,society.mp3,中考核心,2,,,中考考纲核心词汇,初中
easy,ˈizi,adj. 容易的；舒适的；vt. 发出停划命令；adv. 不费力地，从容地；vi. 停止划桨,,easy.mp3,中考核心,2,,,中考考纲核心词汇,初中
rubbish,ˈrʌbɪʃ,n. 垃圾，废物；废话；adj. 毫无价值的,,rubbish.mp3,中考核心,2,,,中考考纲核心词汇,初中
work,wɜrk,n. 工作； 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品；vt. 使工作；操作；经营；使缓慢前进；vi. 工作；运作；起作用,,work.mp3,中考核心,2,,,中考考纲核心词汇,初中
sense,sɛns,n. 感觉，功能；观念；道理；理智；vt. 感觉到；检测,,sense.mp3,中考核心,2,,,中考考纲核心词汇,初中
conversation,ˌkɑnvərˈseɪʃən,n. 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话,,conversation.mp3,中考核心,2,,,中考考纲核心词汇,初中
member,ˈmɛmbər,n. 成员；会员；议员,,member.mp3,中考核心,2,,,中考考纲核心词汇,初中
draw,drɔ,n. 平局；抽签；vi. 拉；拖；vt. 画；拉；吸引,,draw.mp3,中考核心,2,,,中考考纲核心词汇,初中
relative,ˈrɛlətɪv,n. 亲戚；相关物； 关系词；亲缘植物；adj. 相对的；有关系的；成比例的,,relative.mp3,中考核心,2,,,中考考纲核心词汇,初中
ship,ʃɪp,n. 船；舰；太空船；vt. 运送，乘船；以船运送；vi. 上船；乘船旅行；当船员,,ship.mp3,中考核心,2,,,中考考纲核心词汇,初中
later,ˈleɪtər,adv. 后来；稍后；随后；adj. 更迟的；更后的,,later.mp3,中考核心,2,,,中考考纲核心词汇,初中
perfect,ˈpɜrˌfɪkt,n. 完成式；adj. 完美的；最好的；精通的；vt. 使完美；使熟练,,perfect.mp3,中考核心,2,,,中考考纲核心词汇,初中
require,ˌriˈkwaɪər,vt. 需要；要求；命令,,require.mp3,中考核心,2,,,中考考纲核心词汇,初中
permission,pərˈmɪʃən,n. 允许，许可,,permission.mp3,中考核心,2,,,中考考纲核心词汇,初中
opera,ˈɑprə,n. 歌剧；歌剧院；歌剧团,,opera.mp3,中考核心,2,,,中考考纲核心词汇,初中
learn,lɜrn,vt. 学习；得知；认识到；vi. 学习；获悉,,learn.mp3,中考核心,2,,,中考考纲核心词汇,初中
underwater,ˈʌndərˌwɔtər,n. 水下；adj. 在水中的；水面下的；adv. 在水下,,underwater.mp3,中考核心,2,,,中考考纲核心词汇,初中
calm,kɑm,n. 风平浪静；adj. 静的，平静的；沉着的；vt. 使平静；使镇定；vi. 平静下来；镇定下来,,calm.mp3,中考核心,2,,,中考考纲核心词汇,初中
cheaply,ˈʧipli,adv. 便宜地；廉价地,,cheaply.mp3,中考核心,2,,,中考考纲核心词汇,初中
pride,praɪd,n. 自豪；骄傲；自尊心；vt. 使得意，以…自豪；vi. 自豪,,pride.mp3,中考核心,2,,,中考考纲核心词汇,初中
age,eɪʤ,n. 年龄；时代；寿命，使用年限；阶段；vt. 使成熟；使变老，使上年纪；vi. 成熟；变老,,age.mp3,中考核心,2,,,中考考纲核心词汇,初中
dance,dæns,n. 舞蹈；舞会；舞曲；adj. 舞蹈的；用于跳舞的；vt. 跳舞；使跳跃；vi. 跳舞；跳跃；飘扬,,dance.mp3,中考核心,2,,,中考考纲核心词汇,初中
Wednesday,ˈwɛnzˌdeɪ,n. 星期三,,wednesday.mp3,中考核心,2,,,中考考纲核心词汇,初中
build,bɪld,n. 构造；体形；体格；vi. 建筑；建造；vt. 建立；建筑,,build.mp3,中考核心,2,,,中考考纲核心词汇,初中
suit,sut,n. 诉讼；恳求；套装，西装；一套外衣；vt. 适合；使适应；vi. 合适；相称,,suit.mp3,中考核心,2,,,中考考纲核心词汇,初中
sixteenth,sɪkˈstinθ,adj. 第十六的；十六分之一的；num. 第十六；十六分之一,,sixteenth.mp3,中考核心,2,,,中考考纲核心词汇,初中
physical,ˈfɪzɪkəl,n. 体格检查；adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的,,physical.mp3,中考核心,2,,,中考考纲核心词汇,初中
hero,ˈhɪroʊ,n. 英雄；男主角，男主人公,,hero.mp3,中考核心,2,,,中考考纲核心词汇,初中
television,ˈtɛləˌvɪʒən,n. 电视，电视机；电视业,,television.mp3,中考核心,2,,,中考考纲核心词汇,初中
present,ˈprɛzənt,n. 现在；礼物；瞄准；adj. 现在的；出席的；vt. 提出；介绍；呈现；赠送；vi. 举枪瞄准,,present.mp3,中考核心,2,,,中考考纲核心词汇,初中
clever,ˈklɛvər,adj. 聪明的；机灵的；熟练的；,,clever.mp3,中考核心,2,,,中考考纲核心词汇,初中
dare,dɛr,n. 挑战；挑动；vt. 敢冒；不惧；vi. 敢；胆敢,,dare.mp3,中考核心,2,,,中考考纲核心词汇,初中
at,æt,prep. 在（表示存在或出现的地点、场所、位置、空间）；以（某种价格、速度等）；向；达；因为；朝；忙于；n. 阿特（老挝货币基本单位att）；砹（极不稳定放射性元素）；abbr. 密封的（air,,at.mp3,中考核心,2,,,中考考纲核心词汇,初中
discuss,dɪˈskʌs,vt. 讨论；论述，辩论,,discuss.mp3,中考核心,2,,,中考考纲核心词汇,初中
nearly,ˈnɪrli,adv. 差不多，几乎；密切地,,nearly.mp3,中考核心,2,,,中考考纲核心词汇,初中
bread,brɛd,n. 面包；生计；vt. 在…上洒面包屑,,bread.mp3,中考核心,2,,,中考考纲核心词汇,初中
